# Example gene expression data for GBM analysis
# Format: GeneID, Sample1, Sample2, Sample3, ...
# Replace with your own expression data from GEO, TCGA, or RNA-seq experiments

GeneID,Tumor_01,Tumor_02,Tumor_03,Normal_01,Normal_02,Normal_03
ENSG00000101347,12.5,14.2,13.8,8.1,7.9,8.5
ENSG00000169174,45.2,48.1,46.7,22.3,21.8,23.1
ENSG00000171144,8.9,9.2,8.7,15.4,14.9,15.8
ENSG00000198913,32.1,34.5,33.2,18.7,17.9,19.2
ENSG00000156507,21.4,22.8,21.9,12.3,11.8,12.9
ENSG00000177917,67.3,69.8,68.1,34.2,33.5,35.1
ENSG00000102749,15.6,16.2,15.9,28.4,27.9,29.1
ENSG00000168036,42.8,44.1,43.5,19.6,18.9,20.2
ENSG00000177670,28.9,30.2,29.5,45.3,44.7,46.1
ENSG00000198888,11.2,12.1,11.7,6.8,6.4,7.2

# Note: This is example data only. For real analysis:
# 1. Download expression data from GEO (e.g., GSE4412, TCGA-GBM)
# 2. Normalize and process to genes (rows) x samples (columns) format
# 3. Ensure gene IDs match those in Human-GEM model (ENSEMBL or HGNC symbols)
#
# Data sources:
# - GEO: https://www.ncbi.nlm.nih.gov/geo/
# - TCGA: https://www.cancer.gov/tcga
# - Human-GEM: https://github.com/SysBioChalmers/human-gem
